ItemCode,product_name,ProductType,size,total_sqm,min_quantity,Export,M_Distributor,Dealer,Dealer2,ApprovalNeeded,TierStage25,TierStage2,TierStage15,TierStage1,Retail
GOSF05-08x11,Graffiti Polyester Paper,Pure Polyester 5mil,"8.5""x11""",0.06032246,50,2.21,2.68,2.98,3.13,3.42,4.28,4.56,4.85,5.13,5.7
GOSF05-11x17,Graffiti Polyester Paper,Pure Polyester 5mil,"11""x17""",0.12064492,50,2.21,2.68,2.98,3.13,3.42,4.28,4.56,4.85,5.13,5.7
GOSF05-12x18,Graffiti Polyester Paper,Pure Polyester 5mil,"12""x18""",0.13935456,50,2.21,2.68,2.98,3.13,3.42,4.28,4.56,4.85,5.13,5.7
GOSF05-13x19,Graffiti Polyester Paper,Pure Polyester 5mil,"13""x19""",0.15935452,50,2.21,2.68,2.98,3.13,3.42,4.28,4.56,4.85,5.13,5.7
GOSF05-21x30,Graffiti Polyester Paper,Pure Polyester 5mil,"20.9""x29.5""",0.397773398,50,2.21,2.68,2.98,3.13,3.42,4.28,4.56,4.85,5.13,5.7
GOSF08-08x11,Graffiti Polyester Paper,Pure Polyester 8mil,"8.5""x11""",0.06032246,50,3.11,3.78,4.2,4.42,5.36,5.74,6.12,6.5,6.89,7.65
GOSF08-11x17,Graffiti Polyester Paper,Pure Polyester 8mil,"11""x17""",0.12064492,50,3.11,3.78,4.2,4.42,5.36,5.74,6.12,6.5,6.89,7.65
GOSF08-12x18,Graffiti Polyester Paper,Pure Polyester 8mil,"12""x18""",0.13935456,50,3.11,3.78,4.2,4.42,5.36,5.74,6.12,6.5,6.89,7.65
GOSF08-13x19,Graffiti Polyester Paper,Pure Polyester 8mil,"13""x19""",0.15935452,50,3.11,3.78,4.2,4.42,5.36,5.74,6.12,6.5,6.89,7.65
GOSF08-14x20,Graffiti Polyester Paper,Pure Polyester 8mil,"14.33""x20.5""",0.189525427,50,3.11,3.78,4.2,4.42,5.36,5.74,6.12,6.5,6.89,7.65
GOSF10-08x11,Graffiti Polyester Paper,Pure Polyester 10mil,"8.5""x11""",0.06032246,50,4.32,5.24,5.82,6.13,6.81,7.3,7.78,8.27,8.76,9.73
GOSF10-11x17,Graffiti Polyester Paper,Pure Polyester 10mil,"11""x17""",0.12064492,50,4.32,5.24,5.82,6.13,6.81,7.3,7.78,8.27,8.76,9.73
GOSF10-12x18,Graffiti Polyester Paper,Pure Polyester 10mil,"12""x18""",0.13935456,50,4.32,5.24,5.82,6.13,6.81,7.3,7.78,8.27,8.76,9.73
GOSF10-13x19,Graffiti Polyester Paper,Pure Polyester 10mil,"13""x19""",0.15935452,50,4.32,5.24,5.82,6.13,6.81,7.3,7.78,8.27,8.76,9.73
GOSF11-08x11,Graffiti Polyester Paper,Pure Polyester 11mil,"8.5""x11""",0.06032246,50,4.6,5.58,6.2,6.53,7.81,8.37,8.93,9.49,10.04,11.16
GOSF11-11x17,Graffiti Polyester Paper,Pure Polyester 11mil,"11""x17""",0.12064492,50,4.6,5.58,6.2,6.53,7.81,8.37,8.93,9.49,10.04,11.16
GOSF11-12x18,Graffiti Polyester Paper,Pure Polyester 11mil,"12""x18""",0.13935456,50,4.6,5.58,6.2,6.53,7.81,8.37,8.93,9.49,10.04,11.16
GOSF11-13x19,Graffiti Polyester Paper,Pure Polyester 11mil,"13""x19""",0.15935452,50,4.6,5.58,6.2,6.53,7.81,8.37,8.93,9.49,10.04,11.16
GOSF11-14x20,Graffiti Polyester Paper,Pure Polyester 11mil,"14.33""x20.5""",0.189525427,50,4.6,5.58,6.2,6.53,7.81,8.37,8.93,9.49,10.04,11.16
GOSF11-14x26,Graffiti Polyester Paper,Pure Polyester 11mil,"14.33""x26""",0.240373713,50,4.6,5.58,6.2,6.53,7.81,8.37,8.93,9.49,10.04,11.16
GOSF11-21x30,Graffiti Polyester Paper,Pure Polyester 11mil,"20.9""x29.5""",0.397773398,50,4.6,5.58,6.2,6.53,7.81,8.37,8.93,9.49,10.04,11.16
GOBO11-13x19,Graffiti Polyester Paper,Polyester BlockOut 11mil,"13""x19""",0.15935452,50,4.86,5.9,6.56,6.9,8.26,8.85,9.44,10.03,10.62,11.8
GOBO11-21x30,Graffiti Polyester Paper,Polyester BlockOut 11mil,"20.9""x29.5""",0.397773398,50,4.86,5.9,6.56,6.9,8.26,8.85,9.44,10.03,10.62,11.8
GOSF14-11x17,Graffiti Polyester Paper,Pure Polyester 14mil,"11""x17""",0.12064492,25,6.14,7.46,8.29,8.73,9.1,9.75,10.4,11.05,11.7,13
GOSF14-12x18,Graffiti Polyester Paper,Pure Polyester 14mil,"12""x18""",0.13935456,25,6.14,7.46,8.29,8.73,9.1,9.75,10.4,11.05,11.7,13
GOSF14-13x19,Graffiti Polyester Paper,Pure Polyester 14mil,"13""x19""",0.15935452,25,6.14,7.46,8.29,8.73,9.1,9.75,10.4,11.05,11.7,13
GOSF14-14x20,Graffiti Polyester Paper,Pure Polyester 14mil,"14.33""x20.5""",0.189525427,25,6.14,7.46,8.29,8.73,9.1,9.75,10.4,11.05,11.7,13
GOSF14-14x26,Graffiti Polyester Paper,Pure Polyester 14mil,"14.33""x26""",0.240373713,25,6.14,7.46,8.29,8.73,9.1,9.75,10.4,11.05,11.7,13
GMEG08-13x19,Graffiti Polyester Paper,Gold 8mil,"13""x19""",0.15935452,50,5.76,7,7.78,8.19,9.8,10.5,11.2,11.9,12.6,14
GMEG11-13x19,Graffiti Polyester Paper,Gold 11mil,"13""x19""",0.15935452,50,8.24,10,11.11,11.7,14,15,16,17,18,20
