productId,productType,EXPORT_pricePerSqm,MASTER_DISTRIBUTOR_pricePerSqm,DEALER_pricePerSqm,DEALER_2_pricePerSqm,Approval_Retail__pricePerSqm,Stage25_pricePerSqm,Stage2_pricePerSqm,Stage15_pricePerSqm,Stage1_pricePerSqm,Retail_pricePerSqm
graffiti-polyester-paper,Graffiti Polyester Paper 5mil,2.21,2.68,2.98,3.13,3.42,4.28,4.56,4.85,5.13,5.7
graffiti-polyester-paper,Graffiti Polyester Paper 8mil,3.11,3.78,4.2,4.42,5.36,5.74,6.12,6.5,6.89,7.65
graffiti-polyester-paper,Graffiti Polyester Paper 10mil,4.32,5.24,5.82,6.13,6.81,7.3,7.78,8.27,8.76,9.73
graffiti-polyester-paper,Graffiti Polyester Paper 11mil,4.6,5.58,6.2,6.53,7.81,8.37,8.93,9.49,10.04,11.16
graffiti-polyester-paper,Graffiti BlockOut Polyester 11mil,4.86,5.9,6.56,6.9,8.26,8.85,9.44,10.03,10.62,11.8
graffiti-polyester-paper,Graffiti Polyester Paper 14mil,6.14,7.46,8.29,8.73,9.1,9.75,10.4,11.05,11.7,13
graffiti-polyester-paper,Graffiti Metallic Gold 8mil,$5.76 ,$7.00 ,$7.78 ,$8.19 ,$9.80 ,$10.50 ,$11.20 ,$11.90 ,$12.60 ,$14.00 
graffiti-polyester-paper,Graffiti Metallic Gold 11mil,$8.24 ,$10.00 ,$11.11 ,$11.70 ,$14.00 ,$15.00 ,$16.00 ,$17.00 ,$18.00 ,$20.00 
graffiti-polyester-paper,Graffiti Metallic Silver 8mil,$5.76 ,$7.00 ,$7.78 ,$8.19 ,$9.80 ,$10.50 ,$11.20 ,$11.90 ,$12.60 ,$14.00 
graffiti-polyester-paper,Graffiti Metallic Silver 11mil,$8.24 ,$10.00 ,$11.11 ,$11.70 ,$14.00 ,$15.00 ,$16.00 ,$17.00 ,$18.00 ,$20.00 
graffiti-polyester-paper,Graffiti Metallic Rose 8mil,$6.09 ,$7.40 ,$8.22 ,$8.65 ,$10.36 ,$11.10 ,$11.84 ,$12.58 ,$13.32 ,$14.80 
graffiti-polyester-paper,Graffiti Metallic Rose 11mil,$8.24 ,$10.00 ,$11.11 ,$11.70 ,$14.00 ,$15.00 ,$16.00 ,$17.00 ,$18.00 ,$20.00 
graffiti-polyester-paper,Graffiti Metallic Mirror 8mil,$5.44 ,$6.60 ,$7.33 ,$7.72 ,$9.24 ,$9.90 ,$10.56 ,$11.22 ,$11.88 ,$13.20 
graffiti-polyester-paper,Graffiti Backlit Film 8mil,$3.62 ,$4.40 ,$4.89 ,$5.15 ,$6.16 ,$6.60 ,$7.04 ,$7.48 ,$7.92 ,$8.80 
graffiti-polyester-paper,Graffiti Frosted Film 4mil,$1.65 ,$2.00 ,$2.22 ,$2.34 ,$2.80 ,$3.00 ,$3.20 ,$3.40 ,$3.60 ,$4.00 
graffiti-polyester-paper,Graffiti Frosted Film 11mil,$3.95 ,$4.80 ,$5.33 ,$5.61 ,$6.72 ,$7.20 ,$7.68 ,$8.16 ,$8.64 ,$9.60 
graffiti-polyester-paper,Graffiti Clear Film - 4mil,$1.81 ,$2.20 ,$2.44 ,$2.57 ,$3.08 ,$3.30 ,$3.52 ,$3.74 ,$3.96 ,$4.40 
graffiti-polyester-paper,Graffiti Clear Film 10mil,$3.95 ,$4.80 ,$5.33 ,$5.61 ,$6.72 ,$7.20 ,$7.68 ,$8.16 ,$8.64 ,$9.60 
graffiti-polyester-paper,Graffiti AuraBoard - Silver,$4.86 ,$5.90 ,$6.56 ,$6.90 ,$8.26 ,$8.85 ,$9.44 ,$10.03 ,$10.62 ,$11.80 
graffiti-polyester-paper,Graffiti AuraBoard - Holographics,$6.92 ,$8.40 ,$9.33 ,$9.82 ,$11.76 ,$12.60 ,$13.44 ,$14.28 ,$15.12 ,$16.80 
graffiti-polyester-paper,DIGITAL FABRICS - 12 Oz,$6.59 ,$8.00 ,$8.89 ,$9.36 ,$11.20 ,$12.00 ,$12.80 ,$13.60 ,$14.40 ,$16.00 
graffiti-blended-poly,Graffiti Blended Poly 8mil,$1.98 ,$2.40 ,$2.67 ,$2.81 ,$3.36 ,$3.60 ,$3.84 ,$4.08 ,$4.32 ,$4.80 
graffiti-blended-poly,Graffiti Blended Poly 11mil,$2.64 ,$3.20 ,$3.56 ,$3.74 ,$4.48 ,$4.80 ,$5.12 ,$5.44 ,$5.76 ,$6.40 
graffiti-blended-poly,Graffiti Blended Poly 14mil,$3.13 ,$3.80 ,$4.22 ,$4.44 ,$5.32 ,$5.70 ,$6.08 ,$6.46 ,$6.84 ,$7.60 
graffiti-soft-poly,Graffiti SOFT Poly 8mil,$1.98 ,$2.40 ,$2.67 ,$2.81 ,$3.36 ,$3.60 ,$3.84 ,$4.08 ,$4.32 ,$4.80 
graffiti-soft-poly,Graffiti SOFT Poly 11mil,$2.64 ,$3.20 ,$3.56 ,$3.74 ,$4.48 ,$4.80 ,$5.12 ,$5.44 ,$5.76 ,$6.40 
graffiti-soft-poly,Graffiti SOFT Poly 14mil,$3.13 ,$3.80 ,$4.22 ,$4.44 ,$5.32 ,$5.70 ,$6.08 ,$6.46 ,$6.84 ,$7.60 
graffitistick,Graffiti COOLStick - 4mil,$1.56 ,$1.90 ,$2.11 ,$2.22 ,$2.66 ,$2.85 ,$3.04 ,$3.23 ,$3.42 ,$3.80 
graffitistick,Graffiti CLEARStick - 4mil,$2.39 ,$2.90 ,$3.22 ,$3.39 ,$4.06 ,$4.35 ,$4.64 ,$4.93 ,$5.22 ,$5.80 
graffitistick,Graffiti SILVERStick - 4mil,$2.31 ,$2.80 ,$3.11 ,$3.27 ,$3.92 ,$4.20 ,$4.48 ,$4.76 ,$5.04 ,$5.60 
graffitistick,Graffiti PAPERStick - 4mil,$1.32 ,$1.60 ,$1.78 ,$1.87 ,$2.24 ,$2.40 ,$2.56 ,$2.72 ,$2.88 ,$3.20 
graffitistick,Graffiti MAGNETICS - 16mil,$9.77 ,$11.86 ,$13.18 ,$13.87 ,$16.60 ,$17.79 ,$18.98 ,$20.16 ,$21.35 ,$23.72 
graffitistick,Graffiti DURAStick - 6mil,$2.47 ,$3.00 ,$3.33 ,$3.51 ,$4.20 ,$4.50 ,$4.80 ,$5.10 ,$5.40 ,$6.00 
graffitistick,Graffiti SlickStick Clear - 6mil,$8.21 ,$9.96 ,$11.07 ,$11.65 ,$13.95 ,$14.95 ,$15.94 ,$16.94 ,$17.94 ,$19.93 
graffitistick,Graffiti SlickStick White - 6mil,$8.21 ,$9.96 ,$11.07 ,$11.65 ,$13.95 ,$14.95 ,$15.94 ,$16.94 ,$17.94 ,$19.93 
solvit-sign-display-media,Solvit One Way Vision Film 7mil,$3.62 ,$4.40 ,$4.89 ,$5.15 ,$6.16 ,$6.60 ,$7.04 ,$7.48 ,$7.92 ,$8.80 
solvit-sign-display-media,Solvit Polyester (Grey Back) Banner 8mil,$3.21 ,$3.90 ,$4.33 ,$4.56 ,$5.46 ,$5.85 ,$6.24 ,$6.63 ,$7.02 ,$7.80 
solvit-sign-display-media,Solvit Polyester (White Back) Banner 8mil,$3.05 ,$3.70 ,$4.11 ,$4.33 ,$5.18 ,$5.55 ,$5.92 ,$6.29 ,$6.66 ,$7.40 
solvit-sign-display-media,Solvit Polyester (Grey Back) Banner 10mil,$4.04 ,$4.90 ,$5.44 ,$5.73 ,$6.86 ,$7.35 ,$7.84 ,$8.33 ,$8.82 ,$9.80 
solvit-sign-display-media,Solvit PVC Banner 13 Oz (840x840),$1.37 ,$1.66 ,$1.84 ,$1.94 ,$2.32 ,$2.49 ,$2.66 ,$2.82 ,$2.99 ,$3.32 
solvit-sign-display-media,Solvit Poster Paper 175gsm,$1.07 ,$1.30 ,$1.44 ,$1.52 ,$1.82 ,$1.95 ,$2.08 ,$2.21 ,$2.34 ,$2.60 
solvit-sign-display-media,Solvit Backlit Film 8mil,$2.96 ,$3.60 ,$4.00 ,$4.21 ,$5.04 ,$5.40 ,$5.76 ,$6.12 ,$6.48 ,$7.20 
solvit-sign-display-media,Solvit Self Adhesive Vinyl - 4mil (Greyback),$1.32 ,$1.60 ,$1.78 ,$1.87 ,$2.24 ,$2.40 ,$2.56 ,$2.72 ,$2.88 ,$3.20 
solvit-sign-display-media,Solvit Self Adhesive Vinyl - 6mil (white Back),$2.64 ,$3.20 ,$3.56 ,$3.74 ,$4.48 ,$4.80 ,$5.12 ,$5.44 ,$5.76 ,$6.40 
solvit-sign-display-media,Solvit PolySign 11mil,$1.81 ,$2.20 ,$2.44 ,$2.57 ,$3.08 ,$3.30 ,$3.52 ,$3.74 ,$3.96 ,$4.40 
solvit-sign-display-media,Solvit PolySign 17mil,$2.80 ,$3.40 ,$3.78 ,$3.98 ,$4.76 ,$5.10 ,$5.44 ,$5.78 ,$6.12 ,$6.80 
solvit-sign-display-media,Solvit SlickStick 5mil Polyester,$5.93 ,$7.20 ,$8.00 ,$8.42 ,$10.08 ,$10.80 ,$11.52 ,$12.24 ,$12.96 ,$14.40 
cliq-aqueous-media,CliQ Cold Press Paper 300gsm,$11.32 ,$13.74 ,$15.27 ,$16.08 ,$19.24 ,$20.62 ,$21.99 ,$23.37 ,$24.74 ,$27.49 
cliq-aqueous-media,CliQ Hot Press Paper 270gsm,$15.14 ,$18.38 ,$20.43 ,$21.50 ,$25.74 ,$27.57 ,$29.41 ,$31.25 ,$33.09 ,$36.77 
