ProductID,ProductName,ProductType,Size,ItemCode,MinOrderQty
1,Graffiti Polyester Paper,Thickness: 5mil,"8.5""x11""",GOSF05-08x11,50 Sheets
2,Graffiti Polyester Paper,Thickness: 5mil,"11""x17""",GOSF05-11x17,50 Sheets
3,Graffiti Polyester Paper,Thickness: 5mil,"12""x18""",GOSF05-12x18,50 Sheets
4,Graffiti Polyester Paper,Thickness: 5mil,"13""x19""",GOSF05-13x19,50 Sheets
5,Graffiti Polyester Paper,Thickness: 5mil,"20.9""x29.5""",GOSF05-21x30,50 Sheets
6,Graffiti Polyester Paper,Thickness: 8mil,"8.5""x11""",GOSF08-08x11,50 Sheets
7,Graffiti Polyester Paper,Thickness: 8mil,"11""x17""",GOSF08-11x17,50 Sheets
8,Graffiti Polyester Paper,Thickness: 8mil,"12""x18""",GOSF08-12x18,50 Sheets
9,Graffiti Polyester Paper,Thickness: 8mil,"13""x19""",GOSF08-13x19,50 Sheets
10,Graffiti Polyester Paper,Thickness: 10mil,"8.5""x11""",GOSF10-08x11,50 Sheets
11,Graffiti Polyester Paper,Thickness: 10mil,"11""x17""",GOSF10-11x17,50 Sheets
12,Graffiti Polyester Paper,Thickness: 10mil,"12""x18""",GOSF10-12x18,50 Sheets
13,Graffiti Polyester Paper,Thickness: 10mil,"13""x19""",GOSF10-13x19,50 Sheets
14,Graffiti Polyester Paper,Thickness: 11mil,"8.5""x11""",GOSF11-08x11,50 Sheets
15,Graffiti Polyester Paper,Thickness: 11mil,"11""x17""",GOSF11-11x17,50 Sheets
16,Graffiti Polyester Paper,Thickness: 11mil,"12""x18""",GOSF11-12x18,50 Sheets
17,Graffiti Polyester Paper,Thickness: 11mil,"13""x19""",GOSF11-13x19,50 Sheets
18,Graffiti Polyester Paper,Thickness: 11mil,"14.33""x20.5""",GOSF11-14x20,50 Sheets
19,Graffiti Polyester Paper,Thickness: 11mil,"14.33""x26""",GOSF11-14x26,50 Sheets
20,Graffiti Polyester Paper,Thickness: 11mil,"20.9""x29.5""",GOSF11-21x30,50 Sheets
21,Graffiti Polyester Paper,Thickness: BlockOut 11mil,"13""x19""",GOBO11-13x19,50 Sheets
22,Graffiti Polyester Paper,Thickness: BlockOut 11mil,"20.9""x29.5""",GOBO11-21x30,50 Sheets
23,Graffiti Polyester Paper,Thickness: 14mil,"11""x17""",GOSF14-11x17,25 Sheets
24,Graffiti Polyester Paper,Thickness: 14mil,"12""x18""",GOSF14-12x18,25 Sheets
25,Graffiti Polyester Paper,Thickness: 14mil,"13""x19""",GOSF14-13x19,25 Sheets
26,Graffiti Polyester Paper,Thickness: 14mil,"14.33""x20.5""",GOSF14-14x20,25 Sheets
27,Graffiti Polyester Paper,Thickness: 14mil,"14.33""x26""",GOSF14-14x26,25 Sheets
28,Graffiti Polyester Paper,Gold 8mil,"13""x19""",GMEG08-13x19,50 Sheets
